School,year,Games,Cmp,Pass Att,Pct,Yds,Td,Rush Att,Yds,Avg,TD,Plays,Yds,Avg,First Down Pass,First Down Rush,First Down Penalty,First Downs,Penalties,P yards,Fumbles,Int,Tot,Cmp,Pass Att,Pct,Yds,Td,Rush Att,Yds,Avg,TD,Plays,Yds,Avg,First Down Pass,First Down Rush,First Down Penalty,First Downs,Penalties,P yards,Fumbles,Int,Tot
Air Force,2010,13,-6.7,-11.8,-2.4,-28.5,0.1,15.3,105,0.5,1.4,3.6,76.5,0.8,-2.7,6,-0.1,3.2,0.2,5.7,0,-0.4,-0.4,-8.430678494,-13.58905641,-4.464972936,-80.0998655,-0.300436595,19.02614017,120.5154829,0.745511925,1.104026703,6.124263178,42.02857461,0.126617231,-4.136923453,6.550859203,0.18140544,2.593636475,-0.370137477,-0.574079826,-0.211282657,-0.512443105,-0.690187059
Air Force,2011,13,-5.4,-8.1,-2.5,-26.7,-0.4,11.3,95.1,0.7,1.5,3.2,68.3,0.7,-2.1,3.8,0.5,2.2,-1.8,-13.9,0.3,-0.3,0,-7.824542796,-12.49124513,-4.071978349,-69.4198924,-0.320349276,17.48091214,115.4323863,0.73640954,1.183221362,5.539410543,47.28285969,0.241293785,-3.729538763,6.000687362,0.245124352,2.51490918,-0.656109982,-3.239263861,-0.109026126,-0.469954484,-0.552149647
Air Force,2012,13,-11.5,-14.8,-12.9,-108,-0.8,17.6,117.4,0.6,0.9,2.9,9.4,-0.1,-6.3,7,0.6,1.5,-1.4,-11.6,1,0,1,-8.559634236,-12.9529961,-5.837582679,-77.13591392,-0.416279421,17.50472971,115.8259091,0.709127632,1.12657709,5.011528434,39.70628775,0.173035028,-4.24363101,6.20054989,0.316099482,2.311927344,-0.804887985,-4.911411089,0.112779099,-0.375963587,-0.241719718
Air Force,2013,12,-12,-12.7,-19.3,-134.8,-1.5,3.8,12.1,-0.2,-0.9,-8.9,-122.7,-1,-7.3,-1,0,-8.3,-0.4,-0.2,0.4,0,0.3,-9.247707389,-12.90239688,-8.530066143,-88.66873114,-0.633023536,14.76378377,95.08072725,0.527302105,0.721261672,2.229222747,7.225030199,-0.061571978,-4.854904808,4.760439912,0.252879585,0.189541875,-0.723910388,-3.969128871,0.170223279,-0.30077087,-0.133375774
Air Force,2014,7,-8.8,-15,-0.7,-96.6,-0.3,25.4,124.7,0.3,1,10.5,28.1,-0.4,-4.2,7.7,-0.3,3.3,-0.3,-2.1,0.3,-0.7,-0.4,-9.158165911,-13.32191751,-6.964052915,-90.25498491,-0.566418829,16.89102701,101.0045818,0.481841684,0.777009337,3.883378198,11.40002416,-0.129257582,-4.723923847,5.348351929,0.142303668,0.8116335,-0.639128311,-3.595303097,0.196178624,-0.380616696,-0.186700619
Akron,2000,11,-2.2,-4.4,0,4.2,0.7,0.9,9.8,0.1,-0.6,-3.6,14.1,0.5,-0.1,-0.5,-1,-1.6,1.3,23.9,-0.6,-0.1,-0.7,-2.071956377,-1.274080855,-5.663858619,-24.54384177,-0.32965061,0.582582349,-20.16243131,-0.524895412,-0.522621254,-3.6,14.1,0.5,-0.1,-0.5,-1,-1.6,1.3,23.9,-0.6,-0.1,-0.7
Akron,2001,11,-3,-4.8,-0.6,-91,-1.6,5.4,-4.8,-0.7,-0.2,0.5,-95.8,-1.3,-3.4,0.3,-0.3,-3.5,-1.4,-19,-0.1,-0.3,-0.3,-2.257565102,-1.979264684,-4.651086895,-37.83507342,-0.583720488,1.54606588,-17.08994504,-0.55991633,-0.458097003,-2.78,-7.88,0.14,-0.76,-0.34,-0.86,-1.98,0.76,15.32,-0.5,-0.14,-0.62
Akron,2002,12,4.3,5.4,2.7,19.6,-0.2,-0.2,-9.8,-0.2,0.4,5.1,9.8,-0.3,1.4,0.3,0.8,2.6,1.9,16.8,-0.1,0.2,0.1,-0.946052081,-0.503411747,-3.180869516,-26.34805874,-0.50697639,1.196852704,-15.63195604,-0.487933064,-0.286477602,-1.204,-4.344,0.052,-0.328,-0.212,-0.528,-1.064,0.988,15.616,-0.42,-0.072,-0.476
Akron,2003,12,5.1,4.4,6.8,85.6,-0.1,1.5,-19.4,-0.7,0.5,5.9,66.3,0.4,3.1,-0.2,0.8,3.8,0.1,3.3,-0.2,-0.5,-0.6,0.263158335,0.477270602,-1.184695613,-3.958446988,-0.425581112,1.257482163,-16.38556483,-0.530346451,-0.129182082,0.2168,9.7848,0.1216,0.3576,-0.2096,-0.2624,-0.0912,0.8104,13.1528,-0.376,-0.1576,-0.5008
Akron,2004,11,-1.7,-1.9,-1.5,2.5,0.1,-3,-91.6,-2.2,-1.3,-5,-89.1,-0.9,-0.5,-3.4,0.4,-3.5,-2,-16.3,-0.3,-0.3,-0.5,-0.129473332,0.001816482,-1.24775649,-2.666757591,-0.32046489,0.40598573,-31.42845186,-0.864277161,-0.363345666,-0.82656,-9.99216,-0.08272,0.18608,-0.84768,-0.12992,-0.77296,0.24832,7.26224,-0.3608,-0.18608,-0.50064
Akron,2005,13,5.3,13.5,-6.1,96.2,0.4,-8.1,-51.7,-0.6,-0.6,5.4,44.5,0.3,4.7,-2.9,0.3,2.3,0.9,6.8,0.2,0.4,0.5,0.956421334,2.701453185,-2.218205192,17.10659393,-0.176371912,-1.295211416,-35.48276149,-0.811421729,-0.410676532,0.418752,0.906272,-0.006176,1.088864,-1.258144,-0.043936,-0.158368,0.378656,7.169792,-0.24864,-0.068864,-0.300512
Akron,2006,12,1.3,4,-2.8,40.5,0.4,-10,-52.5,-0.6,-0.4,-6,-12,0.3,0.1,-1.1,0.3,-0.7,1.6,7.9,-0.4,0.3,-0.1,1.025137067,2.961162548,-2.334564154,21.78527514,-0.061097529,-3.036169133,-38.88620919,-0.769137383,-0.408541226,-0.8649984,-1.6749824,0.0550592,0.8910912,-1.2265152,0.0248512,-0.2666944,0.6229248,7.3158336,-0.278912,0.0049088,-0.2604096
Akron,2007,12,-3.3,-1.6,-7.6,-41.1,-0.7,-4.4,-56,-1,-0.4,-6,-97,-0.9,-2.8,-1.7,0.3,-4.2,1.4,3.1,0.1,-0.1,0.1,0.160109654,2.048930039,-3.387651323,9.208220114,-0.188878024,-3.308935306,-42.30896735,-0.815309906,-0.406832981,-1.89199872,-20.73998592,-0.13595264,0.15287296,-1.32121216,0.07988096,-1.05335552,0.77833984,6.47266688,-0.2031296,-0.01607296,-0.18832768
Akron,2008,12,0.5,4,-6.1,21.1,-0.5,-5.7,-22,0.1,0.2,-1.8,-0.9,0.2,1.4,-2.2,-0.3,-1.1,1.3,8.9,-0.9,0.4,-0.5,0.228087723,2.439144031,-3.930121058,11.58657609,-0.251102419,-3.787148245,-38.24717388,-0.632247925,-0.285466385,-1.873598976,-16.77198874,-0.068762112,0.402298368,-1.496969728,0.003904768,-1.062684416,0.882671872,6.958133504,-0.34250368,0.067141632,-0.250662144
Akron,2009,12,-2,-0.8,-5.2,-13.3,-0.6,-7.3,-53.5,-0.7,-0.8,-8.1,-66.8,-0.4,-1.6,-1.5,-0.1,-3.2,0.2,0.8,0.4,0,0.4,-0.217529821,1.791315225,-4.184096847,6.609260873,-0.320881935,-4.489718596,-41.29773911,-0.64579834,-0.388373108,-3.118879181,-26.77759099,-0.13500969,0.001838694,-1.497575782,-0.016876186,-1.490147533,0.746137498,5.726506803,-0.194002944,0.053713306,-0.120529715
Akron,2010,12,-4.3,-0.7,-13.4,-109,-1.4,-5.3,-50.7,-0.8,-0.7,-6,-159.7,-2,-3.8,-3.1,0.4,-6.5,-0.1,-5.6,0,0.5,0.5,-1.034023857,1.29305218,-6.027277477,-16.5125913,-0.536705548,-4.651774877,-43.17819129,-0.676638672,-0.450698486,-3.695103345,-53.36207279,-0.508007752,-0.758529044,-1.818060626,0.066499052,-2.492118026,0.576909998,3.461205443,-0.155202355,0.142970644,0.003576228
Akron,2011,12,-1.8,5.8,-17.6,-44.3,-0.9,-10.2,-105.2,-1.6,-2.2,-4.3,-149.4,-1.9,-2.3,-4.3,0.5,-6.2,-0.5,-12.4,0,0.7,0.7,-1.187219086,2.194441744,-8.341821982,-22.07007304,-0.609364438,-5.761419901,-55.58255303,-0.861310938,-0.800558789,-3.816082676,-72.56965823,-0.786406201,-1.066823236,-2.314448501,0.153199241,-3.233694421,0.361527998,0.288964354,-0.124161884,0.254376516,0.142860982
Akron,2012,12,11,16.9,1.3,73.9,0,-12.7,-96.7,-1.1,-1,4.2,-22.8,-0.6,4.1,-4.7,0,-0.7,2.5,16.9,0.1,1.1,1.2,1.250224731,5.135553395,-6.413457586,-2.876058433,-0.487491551,-7.149135921,-63.80604242,-0.90904875,-0.840447031,-2.212866141,-62.61572659,-0.749124961,-0.033458588,-2.791558801,0.122559393,-2.726955537,0.789222399,3.611171483,-0.079329507,0.423501212,0.354288786
Akron,2013,11,-0.6,2.6,-6.5,-19.9,-0.9,-5.1,-41.8,-0.6,-0.5,-2.5,-61.6,-0.7,-1.2,-1.9,-0.1,-3.2,2,13.3,0.2,-0.1,0.1,0.880179785,4.628442716,-6.430766068,-6.280846747,-0.569993241,-6.739308737,-59.40483394,-0.847239,-0.772357625,-2.270292912,-62.41258127,-0.739299969,-0.266766871,-2.61324704,0.078047514,-2.821564429,1.031377919,5.548937187,-0.023463606,0.31880097,0.303431029
Akron,2014,7,5.2,9.3,0.6,39.3,0,-7.6,-14.4,0.5,0.6,1.7,24.9,0.2,-0.7,1.2,0,0.4,0.4,4.2,-0.4,-0.4,-0.9,1.744143828,5.562754173,-5.024612855,2.835322603,-0.455994592,-6.91144699,-50.40386715,-0.5777912,-0.4978861,-1.47623433,-44.95006502,-0.551439975,-0.353413497,-1.850597632,0.062438012,-2.177251544,0.905102335,5.279149749,-0.098770885,0.175040776,0.062744823
Alabama,2000,11,-3.5,-3,-6.3,-39.9,-1,-3.6,12.2,0.6,0.8,-6.5,-27.6,0.1,-1.5,-0.9,0,-2.3,0,-8.4,0.4,0.4,0.8,-1.463921065,-3.413598921,1.812233109,-12.48753454,-0.142696596,5.600199616,44.68992494,0.675295144,0.74280084,-6.5,-27.6,0.1,-1.5,-0.9,0,-2.3,0,-8.4,0.4,0.4,0.8
Alabama,2001,11,-6.1,-9.1,-3.3,-69.2,0.3,8.2,117.5,2.2,0.3,-1,48.3,0.8,-3.1,4.2,-0.6,0.5,2.4,15.6,-0.3,0,-0.3,-2.391136852,-4.550879137,0.789786487,-23.83002763,-0.054157277,6.120159693,59.25193995,0.980236116,0.654240672,-5.4,-12.42,0.24,-1.82,0.12,-0.12,-1.74,0.48,-3.6,0.26,0.32,0.58
Alabama,2002,13,-0.8,-5,6.6,13,0.1,17.6,133,1.8,1.4,12.7,146.2,1.2,0,5,-0.3,4.5,1.8,23.3,-0.5,-0.7,-1.1,-2.072909481,-4.640703309,1.95182919,-16.4640221,-0.023325821,8.416127754,74.00155196,1.144188892,0.803392538,-1.78,19.304,0.432,-1.456,1.096,-0.156,-0.492,0.744,1.78,0.108,0.116,0.244
Alabama,2003,13,-3.7,-3.5,-5.8,-36.2,-0.5,3.8,26.4,0.3,0.2,0.3,-9.7,-0.1,-1.1,1,-0.2,-0.3,-0.4,-4.7,-0.3,0.3,-0.1,-2.398327585,-4.412562647,0.401463352,-20.41121768,-0.118660657,7.492902203,64.48124157,0.975351114,0.68271403,-1.364,13.5032,0.3256,-1.3848,1.0768,-0.1648,-0.4536,0.5152,0.484,0.0264,0.1528,0.1752
Alabama,2004,12,3.4,1.6,12.5,28.5,0.1,1.5,52.7,1.1,0.9,3.1,81.2,1,1.4,0.9,0,2.4,0.4,9.4,-0.4,-0.1,-0.5,-1.238662068,-3.210050118,2.821170682,-10.62897415,-0.074928526,6.294321763,62.12499326,1.000280891,0.726171224,-0.4712,27.04256,0.46048,-0.82784,1.04144,-0.13184,0.11712,0.49216,2.2672,-0.05888,0.10224,0.04016
Alabama,2005,12,2.8,0,9.8,55.6,0.5,8.5,48.2,0.6,0.6,8.4,103.8,1,1.2,3.3,0.5,5,-0.7,-9.8,-0.1,-0.6,-0.7,-0.430929655,-2.568040094,4.216936545,2.616820683,0.040057179,6.73545741,59.33999461,0.920224713,0.700936979,1.30304,42.394048,0.568384,-0.422272,1.493152,-0.005472,1.093696,0.253728,-0.14624,-0.067104,-0.038208,-0.107872
Alabama,2006,13,3,4.7,1.4,39.7,0.2,3.5,-1.5,-0.5,-0.1,8.3,38.2,-0.1,2.3,0.7,0.9,3.9,-0.9,-13.5,0,-0.4,-0.6,0.255256276,-1.114432076,3.653549236,10.03345655,0.072045744,6.088365928,47.17199568,0.63617977,0.540749583,2.702432,41.5552384,0.4347072,0.1221824,1.3345216,0.1756224,1.6549568,0.0229824,-2.816992,-0.0536832,-0.1105664,-0.2062976
Alabama,2007,13,2.4,3.4,1.5,3.2,0,1.5,25,0.6,0.4,4.9,28.3,0.1,1.6,1.4,1.7,4.7,-3.1,-31.6,0.2,-0.6,-0.3,0.684205021,-0.21154566,3.222839389,8.666765237,0.057636595,5.170692742,42.73759655,0.628943816,0.512599667,3.1419456,38.90419072,0.36776576,0.41774592,1.34761728,0.48049792,2.26396544,-0.60161408,-8.5735936,-0.00294656,-0.20845312,-0.22503808
Alabama,2008,14,-3.7,-9.5,5.7,-18.3,-0.5,12.7,110.5,1.9,1.9,3.1,92.3,1.2,-0.6,5.2,0.1,4.7,-2.1,-10.5,0,-0.5,-0.4,-0.192635983,-2.069236528,3.718271511,3.27341219,-0.053890724,6.676554194,56.29007724,0.883155053,0.790079733,3.13355648,49.58335258,0.534212608,0.214196736,2.118093824,0.404398336,2.751172352,-0.901291264,-8.95887488,-0.002357248,-0.266762496,-0.260030464
Alabama,2009,14,0.1,-7.4,14.5,21.9,0.4,14.7,137,2.2,1.8,7.3,158.9,2,0.9,6.2,0.1,7.2,-1.2,-9.4,0,-1.3,-1.3,-0.134108786,-3.135389223,5.874617209,6.998729752,0.036887421,8.281243355,72.43206179,1.146524042,0.992063787,3.966845184,71.44668206,0.827370086,0.351357389,2.934475059,0.343518669,3.640937882,-0.961033011,-9.047099904,-0.001885798,-0.473409997,-0.468024371
Alabama,2010,13,4.7,-0.4,17.6,85,0.9,2.4,72.7,1.8,1.8,2.1,157.7,2.4,4,3.2,-0.3,6.9,-0.4,-6.5,0.4,-1.3,-0.9,0.832712971,-2.588311378,8.219693767,22.5989838,0.209509937,7.104994684,72.48564943,1.277219234,1.153651029,3.593476147,88.69734565,1.141896069,1.081085911,2.987580047,0.214814935,4.292750305,-0.848826409,-8.537679923,0.078491361,-0.638727997,-0.554419497
Alabama,2011,13,5.6,1.8,17.3,103.7,0.7,9.4,142.3,3.1,2.4,11.1,246,3.2,5.6,5.9,0,11.4,-0.7,-3.3,-0.2,-0.4,-0.6,1.786170377,-1.710649103,10.03575501,38.81918704,0.307607949,7.563995747,86.44851955,1.641775387,1.402920824,5.094780918,120.1578765,1.553516855,1.984868729,3.570064038,0.171851948,5.714200244,-0.819061127,-7.490143939,0.022793089,-0.590982398,-0.563535598
Alabama,2012,14,0.1,-5,12.1,44.4,1.6,9.3,151.1,3.2,1.9,4.3,195.5,2.7,1.2,6.9,-0.1,7.9,-0.9,-7,0.1,-1.1,-1,1.448936301,-2.368519282,10.44860401,39.93534963,0.566086359,7.911196598,99.37881564,1.95342031,1.502336659,4.935824734,135.2263012,1.782813484,1.827894983,4.23605123,0.117481558,6.151360195,-0.835248902,-7.392115151,0.038234471,-0.692785918,-0.650828478
Alabama,2013,13,3.6,0.8,11.3,68.2,1.3,3.5,99.4,2.5,1.6,4.2,167.6,2.3,3,4.9,0.3,8.3,-0.7,-3.1,0.2,-0.3,-0.2,1.879149041,-1.734815426,10.61888321,45.58827971,0.712869088,7.028957278,99.38305251,2.062736248,1.521869327,4.788659787,141.701041,1.886250787,2.062315986,4.368840984,0.153985247,6.581088156,-0.808199121,-6.533692121,0.070587577,-0.614228735,-0.560662782
Alabama,2014,7,2.2,-2.1,10.7,90.2,1.4,16.5,159,2.8,2,14.4,249.1,2.5,3.6,7.3,0.4,11.2,1.5,10.4,0.4,-0.2,0.3,1.943319233,-1.80785234,10.63510657,54.51062377,0.85029527,8.923165823,111.306442,2.210188998,1.617495462,6.71092783,163.1808328,2.00900063,2.369852789,4.955072787,0.203188197,7.504870525,-0.346559297,-3.146953697,0.136470062,-0.531382988,-0.388530226
Alabama-Birmingham,2000,11,-4.9,-7.7,-3.1,-54.2,-0.5,7.9,80.2,1.4,0.5,0.2,26,0.4,-3.4,3.4,-0.2,-0.3,0,-0.6,0.1,-0.2,-0.1,-4.93968,-6.55184,-6.28976,-58.87584,-0.58128,5.02512,52.22304,0.78752,0.53712,0.2,26,0.4,-3.4,3.4,-0.2,-0.3,0,-0.6,0.1,-0.2,-0.1
Alabama-Birmingham,2001,11,-7.6,-11,-6.4,-66.2,-0.5,13.2,103.2,1.8,1.4,2.1,37,0.4,-2.3,4.3,-0.6,1.4,0.6,-0.1,0.1,-0.4,-0.3,-5.471744,-7.441472,-6.311808,-60.340672,-0.565024,6.660096,62.418432,0.990016,0.709696,0.58,28.2,0.4,-3.18,3.58,-0.28,0.04,0.12,-0.5,0.1,-0.24,-0.14
Alabama-Birmingham,2002,12,-2.9,-1.3,-7.7,-43.7,-0.3,-3.1,-23.8,-0.3,-0.8,-4.4,-67.5,-0.6,-2.1,-0.4,-0.3,-2.7,3.3,23.9,0.5,-0.5,-0.1,-4.9573952,-6.2131776,-6.5894464,-57.0125376,-0.5120192,4.7080768,45.1747456,0.7320128,0.4077568,-0.416,9.06,0.2,-2.964,2.784,-0.284,-0.508,0.756,4.38,0.18,-0.292,-0.132
Alabama-Birmingham,2003,12,-4.9,-4,-9.2,8.3,0.4,-3.4,-45.6,-0.8,-0.9,-7.4,-37.3,0.1,-1.9,-2.5,0.7,-3.6,0.3,-11.4,0.5,-0.1,0.4,-4.94591616,-5.77054208,-7.11155712,-43.95003008,-0.32961536,3.08646144,27.01979648,0.42561024,0.14620544,-1.8128,-0.212,0.18,-2.7512,1.7272,-0.0872,-1.1264,0.6648,1.224,0.244,-0.2536,-0.0256
Alabama-Birmingham,2004,12,-6.2,-7.9,-5,-13.9,0.3,-0.8,5.3,0.2,0.1,-8.7,-8.6,0.6,-0.7,-0.4,1,-0.1,-0.7,-17.5,0.1,-0.1,0,-5.196732928,-6.196433664,-6.689245696,-37.94002406,-0.203692288,2.309169152,22.67583718,0.380488192,0.136964352,-3.19024,-1.8896,0.264,-2.34096,1.30176,0.13024,-0.92112,0.39184,-2.5208,0.2152,-0.22288,-0.02048
Alabama-Birmingham,2005,11,3.1,3.9,2,67.8,0.6,-4.9,-5.6,0.4,0,-1,62.2,0.9,2.4,-0.5,-0.6,1.2,2.1,13.6,0,-0.4,-0.5,-3.537386342,-4.177146931,-4.951396557,-16.79201925,-0.04295383,0.867335322,17.02066975,0.384390554,0.109571482,-2.752192,10.92832,0.3912,-1.392768,0.941408,-0.015808,-0.496896,0.733472,0.70336,0.17216,-0.258304,-0.116384
Alabama-Birmingham,2006,12,-1.9,-1.1,-4.9,-28,-0.6,1.9,-21.2,-0.8,-0.1,0.8,-49.2,-0.8,-1.2,0.2,0,-1,2.1,8.9,-0.4,0,-0.4,-3.209909074,-3.561717545,-4.941117245,-19.0336154,-0.154363064,1.073868257,9.376535798,0.147512443,0.067657185,-2.0417536,-1.097344,0.15296,-1.3542144,0.7931264,-0.0126464,-0.5975168,1.0067776,2.342688,0.057728,-0.2066432,-0.1731072
Alabama-Birmingham,2007,12,0.7,7.3,-9.5,-15.5,-0.2,-15.2,-146.5,-2,-2.3,-7.8,-162,-1.7,0.2,-8.5,1.4,-6.8,-0.3,-12.5,0,0.5,0.4,-2.427927259,-1.389374036,-5.852893796,-18.32689232,-0.163490451,-2.180905394,-21.79877136,-0.281990046,-0.405874252,-3.19340288,-33.2778752,-0.217632,-1.04337152,-1.06549888,0.26988288,-1.83801344,0.74542208,-0.6258496,0.0461824,-0.06531456,-0.05848576
Alabama-Birmingham,2008,12,-1.5,-0.6,-3.9,-65.6,-1,1.3,1.9,-0.1,-0.5,0.7,-63.7,-1,-1.7,0.5,-0.3,-1.5,1.8,18,0.1,0,0.1,-2.242341807,-1.231499229,-5.462315037,-27.78151386,-0.330792361,-1.484724315,-17.05901709,-0.245592037,-0.424699401,-2.414722304,-39.36230016,-0.3741056,-1.174697216,-0.752399104,0.155906304,-1.770410752,0.956337664,3.09932032,0.05694592,-0.052251648,-0.026788608
Alabama-Birmingham,2009,12,-10.1,-12.9,-6.9,-115.5,-0.5,4.3,86.2,1.8,-0.4,-8.6,-29.3,0.4,-5.3,1.5,-1.4,-5.2,0.9,11.2,-0.5,-0.2,-0.7,-3.813873446,-3.565199383,-5.74985203,-45.32521109,-0.364633889,-0.327779452,3.592786328,0.163526371,-0.419759521,-3.651777843,-37.34984013,-0.21928448,-1.999757773,-0.301919283,-0.155274957,-2.456328602,0.945070131,4.719456256,-0.054443264,-0.081801318,-0.161430886
Alabama-Birmingham,2010,12,1.9,5.5,-3.4,18.7,0.3,-1.1,5.2,0.3,-0.4,4.2,24,0,1.3,-0.1,-0.5,0.5,-1.3,-1,0,0.4,0.5,-2.671098757,-1.752159506,-5.279881624,-32.52016887,-0.231707111,-0.482223562,3.914229063,0.190821097,-0.415807617,-2.081422275,-25.0798721,-0.175427584,-1.339806218,-0.261535427,-0.224219965,-1.865062881,0.496056105,3.575565005,-0.043554611,0.014558945,-0.029144709
Alabama-Birmingham,2011,12,-3.3,3.1,-15.1,-47.7,-1.2,-5.3,-73.9,-1.3,-1.1,-2.2,-121.6,-1.5,-2,-4.1,0.3,-5.7,-1,-10.5,-0.1,0.5,0.4,-2.796879005,-0.781727605,-7.243905299,-35.55613509,-0.425365689,-1.445778849,-11.64861675,-0.107343123,-0.552646094,-2.10513782,-44.38389768,-0.440342067,-1.471844975,-1.029228341,-0.119375972,-2.632050305,0.196844884,0.760452004,-0.054843689,0.111647156,0.056684233
Alabama-Birmingham,2012,12,4,10.2,-7,64.2,0,-5.1,-72.4,-1.4,-1.2,5.2,-8.2,-0.6,1.7,-1.5,0.7,0.9,1.5,6.7,0.2,0.6,0.8,-1.437503204,1.414617916,-7.195124239,-15.60490808,-0.340292551,-2.17662308,-23.7988934,-0.365874498,-0.682116875,-0.644110256,-37.14711815,-0.472273654,-0.83747598,-1.123382673,0.044499222,-1.925640244,0.457475907,1.948361603,-0.003874951,0.209317725,0.205347386
Alabama-Birmingham,2013,12,-3.9,-0.2,-13,-61.7,-1.1,-1.5,-42.7,-0.9,-1.5,-1.7,-104.4,-1.4,-1.9,-1.6,-1,-4.6,1.2,5.5,0.3,0.2,0.5,-1.930002563,1.091694333,-8.356099391,-24.82392646,-0.492234041,-2.041298464,-27.57911472,-0.472699599,-0.8456935,-0.855288205,-50.59769452,-0.657818923,-1.049980784,-1.218706138,-0.164400622,-2.460512195,0.605980726,2.658689282,0.056900039,0.20745418,0.264277909
